109,,,,,,,,
Cep,Caldwell 1-NGC 188,0,44,24,+,85,20,0
Cep,Caldwell 2-NGC 40,0,13,0,+,72,32,0
Dra,Caldwell 3-NGC 4236,12,16,42,+,69,28,0
Cep,Caldwell 4-NGC 7023,21,1,48,+,68,12,0
Cam,Caldwell 5-IC 342,3,46,48,+,68,6,0
Dra,Caldwell 6-NGC 6543,17,58,36,+,66,38,0
Cam,Caldwell 7-NGC 2403,7,36,54,+,65,36,0
Cas,Caldwell 8-NGC 559,1,29,30,+,63,18,0
Cep,Caldwell 9-Sh2-155,22,56,48,+,62,37,0
Cas,Caldwell 10-NGC 663,1,46,0,+,61,15,0
Cas,Caldwell 11-NGC 7635,23,20,42,+,61,12,0
Cep,Caldwell 12-NGC 6946,20,34,48,+,60,9,0
Cas,Caldwell 13-NGC 457,1,19,6,+,58,20,0
Per,Caldwell 14-NGC 869/884,2,20,0,+,57,8,0
Cyg,Caldwell 15-NGC 6826,19,44,48,+,50,31,0
Lac,Caldwell 16-NGC 7243,22,15,18,+,49,53,0
Cas,Caldwell 17-NGC 147,0,33,12,+,48,30,0
Cas,Caldwell 18-NGC 185,0,39,0,+,48,20,0
Cyg,Caldwell 19-IC 5146,21,53,30,+,47,16,0
Cyg,Caldwell 20-NGC 7000,20,58,48,+,44,20,0
CVn,Caldwell 21-NGC 4449,12,28,12,+,44,6,0
And,Caldwell 22-NGC 7662,23,25,54,+,42,33,0
And,Caldwell 23-NGC 891,2,22,36,+,42,21,0
Per,Caldwell 24-NGC 1275,3,19,48,+,41,31,0
Lyn,Caldwell 25-NGC 2419,7,38,6,+,38,53,0
CVn,Caldwell 26-NGC 4244,12,17,30,+,37,49,0
Cyg,Caldwell 27-NGC 6888,20,12,0,+,38,21,0
And,Caldwell 28-NGC 752,1,57,48,+,37,41,0
CVn,Caldwell 29-NGC 5005,13,10,54,+,37,3,0
Peg,Caldwell 30-NGC 7331,22,37,6,+,34,25,0
Aur,Caldwell 31-IC 405,5,16,12,+,34,16,0
CVn,Caldwell 32-NGC 4631,12,42,6,+,32,32,0
Cyg,Caldwell 33-NGC 6992/5,20,56,24,+,31,43,0
Cyg,Caldwell 34-NGC 6960,20,45,42,+,30,43,0
Com,Caldwell 35-NGC 4889,13,0,6,+,27,59,0
Com,Caldwell 36-NGC 4559,12,36,0,+,27,58,0
Vul,Caldwell 37-NGC 6885,20,12,0,+,26,29,0
Com,Caldwell 38-NGC 4565,12,36,18,+,25,59,0
Gem,Caldwell 39-NGC 2392,7,29,12,+,20,55,0
Leo,Caldwell 40-NGC 3626,11,20,6,+,18,21,0
Tau,Caldwell 41-none,4,27,0,+,16,0,0
Del,Caldwell 42-NGC 7006,21,1,30,+,16,11,0
Peg,Caldwell 43-NGC 7814,0,3,18,+,16,9,0
Peg,Caldwell 44-NGC 7479,23,4,54,+,12,19,0
Boo,Caldwell 45-NGC 5248,13,37,30,+,8,53,0
Mon,Caldwell 46-NGC 2261,6,39,12,+,8,44,0
Del,Caldwell 47-NGC 6934,20,34,12,+,7,24,0
Can,Caldwell 48-NGC 2775,9,10,18,+,7,2,0
Mon,Caldwell 49-NGC 2237-9,6,32,18,+,5,3,0
Mon,Caldwell 50-NGC 2244,6,32,24,+,4,52,0
Cet,Caldwell 51-IC 1613,1,4,48,+,2,7,0
Vir,Caldwell 52-NGC 4697,12,48,36,-,5,48,0
Sex,Caldwell 53-NGC 3115,10,5,12,-,7,43,0
Mon,Caldwell 54-NGC 2506,8,0,12,-,10,47,0
Aqr,Caldwell 55-NGC 7009,21,4,12,-,11,22,0
Cet,Caldwell 56-NGC 246,0,47,0,-,11,53,0
Sgr,Caldwell 57-NGC 6822,19,44,54,-,14,48,0
CMa,Caldwell 58-NGC 2360,7,17,48,-,15,37,0
Hya,Caldwell 59-NGC 3242,10,24,48,-,18,38,0
Crv,Caldwell 60-NGC 4038,12,1,54,-,18,52,0
Crv,Caldwell 61-NGC 4039,12,1,54,-,18,53,0
Cet,Caldwell 62-NGC 247,0,47,6,-,20,46,0
Aqr,Caldwell 63-NGC 7293,22,29,36,-,20,48,0
CMa,Caldwell 64-NGC 2362,7,18,48,-,24,57,0
Scl,Caldwell 65-NGC 253,0,47,36,-,25,17,0
Hya,Caldwell 66-NGC 5694,14,39,36,-,26,32,0
For,Caldwell 67-NGC 1097,2,46,18,-,30,17,0
CrA,Caldwell 68-NGC 6729,19,1,54,-,36,57,0
Sco,Caldwell 69-NGC 6302,17,13,42,-,37,6,0
Scl,Caldwell 70-NGC 300,0,54,54,-,37,41,0
Pup,Caldwell 71-NGC 2477,7,52,18,-,38,33,0
Scl,Caldwell 72-NGC 55,0,14,54,-,39,11,0
Col,Caldwell 73-NGC 1851,5,14,6,-,40,3,0
Vel,Caldwell 74-NGC 3132,10,7,42,-,40,26,0
Sco,Caldwell 75-NGC 6124,16,25,36,-,40,40,0
Sco,Caldwell 76-NGC 6231,16,54,0,-,41,48,0
Cen,Caldwell 77-NGC 5128,13,25,30,-,43,1,0
CrA,Caldwell 78-NGC 6541,18,8,0,-,43,42,0
Vel,Caldwell 79-NGC 3201,10,17,36,-,46,25,0
Cen,Caldwell 80-NGC 5139,13,26,48,-,47,29,0
Ara,Caldwell 81-NGC 6352,17,25,30,-,48,25,0
Ara,Caldwell 82-NGC 6193,16,41,18,-,48,46,0
Cen,Caldwell 83-NGC 4945,13,5,24,-,49,28,0
Cen,Caldwell 84-NGC 5286,13,46,24,-,51,22,0
Vel,Caldwell 85-IC 2391,8,40,12,-,53,4,0
Ara,Caldwell 86-NGC 6397,17,40,42,-,53,40,0
Hor,Caldwell 87-NGC 1261,3,12,18,-,55,13,0
Cir,Caldwell 88-NGC 5823,15,5,42,-,55,36,0
Nor,Caldwell 89-NGC 6087,16,18,54,-,57,54,0
Car,Caldwell 90-NGC 2867,9,21,24,-,58,19,0
Car,Caldwell 91-NGC 3532,11,6,24,-,58,40,0
Car,Caldwell 92-NGC 3372,10,43,48,-,59,52,0
Pav,Caldwell 93-NGC 6752,19,10,54,-,59,59,0
Cru,Caldwell 94-NGC 4755,12,53,36,-,60,20,0
TrA,Caldwell 95-NGC 6025,16,3,42,-,60,30,0
Car,Caldwell 96-NGC 2516,7,58,18,-,60,52,0
Cen,Caldwell 97-NGC 3766,11,36,6,-,61,37,0
Cru,Caldwell 98-NGC 4609,12,42,18,-,62,58,0
Cru,Caldwell 99,12,53,0,-,63,0,0
Cen,Caldwell 100-IC 2944,11,36,36,-,63,2,0
Pav,Caldwell 101-NGC 6744,19,9,48,-,63,51,0
Car,Caldwell 102-IC 2602,10,43,12,-,64,24,0
Dor,Caldwell 103-NGC 2070,5,38,42,-,69,6,0
Tuc,Caldwell 104-NGC 362,1,3,12,-,70,51,0
Mus,Caldwell 105-NGC 4833,12,59,36,-,70,53,0
Tuc,Caldwell 106-NGC 104,0,24,6,-,72,5,0
Aps,Caldwell 107-NGC 6101,16,25,48,-,72,12,0
Mus,Caldwell 108-NGC 4372,12,25,48,-,72,40,0
Cha,Caldwell 109-NGC 3195,10,9,30,-,80,52,0
